FILENAME|title|author/name|published|id|updated|link[@type='application/pdf']/@href|link[@type='application/epub+zip']/@href|Number of subjects|Language|
archive_dot_org_books.xml|The Voynich Manuscript|||urn:x-internet-archive:bookserver:item:TheVoynichManuscript|2008-03-09T21:54:42Z|https://bookserver.archive.org/acquire/TheVoynichManuscript.pdf|https://bookserver.archive.org/acquire/TheVoynichManuscript.epub|2|English|
archive_dot_org_books.xml|Figure Drawing for All It's Worth|Loomis, Andrew|1943-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:loomis_FIGURE_draw|2011-12-08T05:16:43Z|https://bookserver.archive.org/acquire/loomis_FIGURE_draw.pdf|https://bookserver.archive.org/acquire/loomis_FIGURE_draw.epub|3|English|
archive_dot_org_books.xml|Lolita|Vladimir Nabokov|1959-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:in.ernet.dli.2015.68292|2017-01-16T07:11:55Z|https://bookserver.archive.org/acquire/in.ernet.dli.2015.68292.pdf|https://bookserver.archive.org/acquire/in.ernet.dli.2015.68292.epub|1|en|
archive_dot_org_books.xml|A Tagalog English and English Tagalog dictionary|Nigg, Charles|1904-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:tagalogenglishen00niggrich|2007-07-31T00:01:58Z|https://bookserver.archive.org/acquire/tagalogenglishen00niggrich.pdf|https://bookserver.archive.org/acquire/tagalogenglishen00niggrich.epub|2|en|
archive_dot_org_books.xml|A dictionary of the principal languages spoken in the Bengal presidency, viz. English, Bángálí, and Hindústání. In the roman character;|D'Rozario, P. S|1837-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:dictionaryofprin00drozrich|2008-03-17T23:11:31Z|https://bookserver.archive.org/acquire/dictionaryofprin00drozrich.pdf|https://bookserver.archive.org/acquire/dictionaryofprin00drozrich.epub|3|en|
archive_dot_org_books.xml|The wonderful wizard of Oz|Baum, L. Frank (Lyman Frank), 1856-1919 Denslow, W. W. (William Wallace), 1856-1915|1899-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:wonderfulwizardo00baumiala|2007-11-27T22:24:10Z|https://bookserver.archive.org/acquire/wonderfulwizardo00baumiala.pdf|https://bookserver.archive.org/acquire/wonderfulwizardo00baumiala.epub|2|en|
archive_dot_org_books.xml|Of Mice And Men(1947)|Steinbeck John|1947-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:in.ernet.dli.2015.507266|2017-01-21T12:03:59Z|https://bookserver.archive.org/acquire/in.ernet.dli.2015.507266.pdf|https://bookserver.archive.org/acquire/in.ernet.dli.2015.507266.epub|1|en|
archive_dot_org_books.xml|Kama sutra|Vātsyāyana|2003-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:isbn_9789707320680|2014-06-16T20:10:52Z|https://bookserver.archive.org/acquire/isbn_9789707320680.pdf|https://bookserver.archive.org/acquire/isbn_9789707320680.epub|8|es|
archive_dot_org_books.xml|The universe pictures in Milton's Paradise lost; an illustrated study for personal and class use|Warren, William Fairfield, 1833-1929|1915-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:universepictures00warruoft|2006-10-19T07:43:40Z|https://bookserver.archive.org/acquire/universepictures00warruoft.pdf|https://bookserver.archive.org/acquire/universepictures00warruoft.epub|1|en|
archive_dot_org_books.xml|Anatomy of the human body|Gray, Henry, 1825-1861 Lewis, Warren Harmon, 1870-|1918-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:anatomyofhumanbo1918gray|2011-05-16T22:33:36Z|https://bookserver.archive.org/acquire/anatomyofhumanbo1918gray.pdf|https://bookserver.archive.org/acquire/anatomyofhumanbo1918gray.epub|1|en|
archive_dot_org_books.xml|The inferno|Dante Alighieri, 1265-1321 Ciardi, John, 1916-1986|2009-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:inferno00dant_2|2012-08-15T14:07:51Z|https://bookserver.archive.org/acquire/inferno00dant_2.pdf|https://bookserver.archive.org/acquire/inferno00dant_2.epub|3|en|
archive_dot_org_books.xml|Position of the day : sex every day in every way|Taylor, Emma (Emma Jane) Sharkey, Lorelei|2003-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:positionofdaysex00tayl|2012-11-21T17:43:58Z|https://bookserver.archive.org/acquire/positionofdaysex00tayl.pdf|https://bookserver.archive.org/acquire/positionofdaysex00tayl.epub|1|en|
